date,branch,item_name,qty_sold
2023-01-02,Main warehouse Mian Pl,Glaze On-Double Patty,48
2023-01-02,Lakecity,Glaze On-Double Patty,52
2023-01-02,Model Town,Glaze On-Double Patty,55
2023-01-02,Cantt,Jalapeno cheese fries,85
2023-01-02,FF DHA,Jalapeno cheese fries,82
2023-01-02,Main warehouse Mian Pl,Jalapeno cheese fries,88
2023-01-02,Lakecity,Jalapeno cheese fries,77
2023-01-02,Model Town,Jalapeno cheese fries,110
2023-01-02,Cantt,Signature Onion Rings,65
2023-01-02,FF DHA,Signature Onion Rings,62
2023-01-02,Main warehouse Mian Pl,Signature Onion Rings,86
2023-01-02,Lakecity,Signature Onion Rings,65
2023-01-02,Model Town,Signature Onion Rings,60
2023-01-02,Cantt,DD Classic -Chicken-100 G,88
2023-01-02,FF DHA,DD Classic -Chicken-100 G,65
2023-01-02,Main warehouse Mian Pl,DD Classic -Chicken-100 G,100
2023-01-02,Lakecity,DD Classic -Chicken-100 G,74
2023-01-02,Model Town,DD Classic -Chicken-100 G,90
2023-01-02,Cantt,Simple beef-Single Patty,63
2023-01-02,FF DHA,Simple beef-Single Patty,67
2023-01-02,Main warehouse Mian Pl,Simple beef-Single Patty,73
2023-01-02,Lakecity,Simple beef-Single Patty,65
2023-01-02,Model Town,Simple beef-Single Patty,74
2023-01-02,Cantt,Mozzarella Cheese Sticks,50
2023-01-02,FF DHA,Mozzarella Cheese Sticks,53
2023-01-02,Main warehouse Mian Pl,Mozzarella Cheese Sticks,54
2023-01-02,Lakecity,Mozzarella Cheese Sticks,64
2023-01-02,Model Town,Mozzarella Cheese Sticks,47
2023-01-02,Cantt,Fried Chicken Fingers,68
2023-01-02,FF DHA,Fried Chicken Fingers,49
2023-01-02,Main warehouse Mian Pl,Fried Chicken Fingers,63
2023-01-02,Lakecity,Fried Chicken Fingers,56
2023-01-02,Model Town,Fried Chicken Fingers,66
2023-01-03,Cantt,Glaze On-Single Patty,71
2023-01-03,FF DHA,Glaze On-Single Patty,87
2023-01-03,Main warehouse Mian Pl,Glaze On-Single Patty,79
2023-01-03,Lakecity,Glaze On-Single Patty,78
2023-01-03,Model Town,Glaze On-Single Patty,62
2023-01-03,Cantt,Glaze On-Double Patty,46
2023-01-03,FF DHA,Glaze On-Double Patty,48
2023-01-03,Main warehouse Mian Pl,Glaze On-Double Patty,49
2023-01-03,Lakecity,Glaze On-Double Patty,41
2023-01-03,Model Town,Glaze On-Double Patty,48
2023-01-03,Cantt,Jalapeno cheese fries,94
2023-01-03,FF DHA,Jalapeno cheese fries,75
2023-01-03,Main warehouse Mian Pl,Jalapeno cheese fries,83
2023-01-03,Lakecity,Jalapeno cheese fries,104
2023-01-03,Model Town,Jalapeno cheese fries,99
2023-01-03,Cantt,Signature Onion Rings,67
2023-01-03,FF DHA,Signature Onion Rings,57
2023-01-03,Main warehouse Mian Pl,Signature Onion Rings,60
2023-01-03,Lakecity,Signature Onion Rings,68
2023-01-03,Model Town,Signature Onion Rings,78
2023-01-03,Cantt,DD Classic -Chicken-100 G,83
2023-01-03,FF DHA,DD Classic -Chicken-100 G,79
2023-01-03,Main warehouse Mian Pl,DD Classic -Chicken-100 G,96
2023-01-03,Lakecity,DD Classic -Chicken-100 G,75
2023-01-03,Model Town,DD Classic -Chicken-100 G,103
2023-01-03,Cantt,Simple beef-Single Patty,72
2023-01-03,FF DHA,Simple beef-Single Patty,59
2023-01-03,Main warehouse Mian Pl,Simple beef-Single Patty,81
2023-01-03,Lakecity,Simple beef-Single Patty,75
2023-01-03,Model Town,Simple beef-Single Patty,66
2023-01-03,Cantt,Mozzarella Cheese Sticks,57
2023-01-03,FF DHA,Mozzarella Cheese Sticks,50
2023-01-03,Main warehouse Mian Pl,Mozzarella Cheese Sticks,57
2023-01-03,Lakecity,Mozzarella Cheese Sticks,54
2023-01-03,Model Town,Mozzarella Cheese Sticks,60
2023-01-03,Cantt,Fried Chicken Fingers,52
2023-01-03,FF DHA,Fried Chicken Fingers,57
2023-01-03,Main warehouse Mian Pl,Fried Chicken Fingers,54
2023-01-03,Lakecity,Fried Chicken Fingers,50
2023-01-03,Model Town,Fried Chicken Fingers,32
2023-01-04,Cantt,Glaze On-Single Patty,84
2023-01-04,FF DHA,Glaze On-Single Patty,63
2023-01-04,Main warehouse Mian Pl,Glaze On-Single Patty,82
2023-01-04,Lakecity,Glaze On-Single Patty,78
2023-01-04,Model Town,Glaze On-Single Patty,56
2023-01-04,Cantt,Glaze On-Double Patty,46
2023-01-04,FF DHA,Glaze On-Double Patty,45
2023-01-04,Main warehouse Mian Pl,Glaze On-Double Patty,51
2023-01-04,Lakecity,Glaze On-Double Patty,44
2023-01-04,Model Town,Glaze On-Double Patty,53
2023-01-04,Cantt,Jalapeno cheese fries,87
2023-01-04,FF DHA,Jalapeno cheese fries,79
2023-01-04,Main warehouse Mian Pl,Jalapeno cheese fries,91
2023-01-04,Lakecity,Jalapeno cheese fries,94
2023-01-04,Model Town,Jalapeno cheese fries,91
2023-01-04,Cantt,Signature Onion Rings,63
2023-01-04,FF DHA,Signature Onion Rings,61
2023-01-04,Main warehouse Mian Pl,Signature Onion Rings,46
2023-01-04,Lakecity,Signature Onion Rings,75
2023-01-04,Model Town,Signature Onion Rings,64
2023-01-04,Cantt,DD Classic -Chicken-100 G,85
2023-01-04,FF DHA,DD Classic -Chicken-100 G,75
2023-01-04,Main warehouse Mian Pl,DD Classic -Chicken-100 G,82
2023-01-04,Lakecity,DD Classic -Chicken-100 G,89
2023-01-04,Model Town,DD Classic -Chicken-100 G,82
2023-01-04,Cantt,Simple beef-Single Patty,70
2023-01-04,FF DHA,Simple beef-Single Patty,74
2023-01-04,Main warehouse Mian Pl,Simple beef-Single Patty,54
2023-01-04,Lakecity,Simple beef-Single Patty,87
2023-01-04,Model Town,Simple beef-Single Patty,67
2023-01-04,Cantt,Mozzarella Cheese Sticks,49
2023-01-04,FF DHA,Mozzarella Cheese Sticks,64
2023-01-04,Main warehouse Mian Pl,Mozzarella Cheese Sticks,43
2023-01-04,Lakecity,Mozzarella Cheese Sticks,39
2023-01-04,Model Town,Mozzarella Cheese Sticks,39
2023-01-04,Cantt,Fried Chicken Fingers,41
2023-01-04,FF DHA,Fried Chicken Fingers,64
2023-01-04,Main warehouse Mian Pl,Fried Chicken Fingers,63
2023-01-04,Lakecity,Fried Chicken Fingers,45
2023-01-04,Model Town,Fried Chicken Fingers,58
2023-01-05,Cantt,Glaze On-Single Patty,81
2023-01-05,FF DHA,Glaze On-Single Patty,69
2023-01-05,Main warehouse Mian Pl,Glaze On-Single Patty,82
2023-01-05,Lakecity,Glaze On-Single Patty,72
2023-01-05,Model Town,Glaze On-Single Patty,71
2023-01-05,Cantt,Glaze On-Double Patty,53
2023-01-05,FF DHA,Glaze On-Double Patty,50
2023-01-05,Main warehouse Mian Pl,Glaze On-Double Patty,35
2023-01-05,Lakecity,Glaze On-Double Patty,45
2023-01-05,Model Town,Glaze On-Double Patty,41
2023-01-05,Cantt,Jalapeno cheese fries,87
2023-01-05,FF DHA,Jalapeno cheese fries,105
2023-01-05,Main warehouse Mian Pl,Jalapeno cheese fries,85
2023-01-05,Lakecity,Jalapeno cheese fries,111
2023-01-05,Model Town,Jalapeno cheese fries,94
2023-01-05,Cantt,Signature Onion Rings,60
2023-01-05,FF DHA,Signature Onion Rings,69
2023-01-05,Main warehouse Mian Pl,Signature Onion Rings,72
2023-01-05,Lakecity,Signature Onion Rings,52
2023-01-05,Model Town,Signature Onion Rings,48
2023-01-05,Cantt,DD Classic -Chicken-100 G,83
2023-01-05,FF DHA,DD Classic -Chicken-100 G,81
2023-01-05,Main warehouse Mian Pl,DD Classic -Chicken-100 G,74
2023-01-05,Lakecity,DD Classic -Chicken-100 G,88
2023-01-05,Model Town,DD Classic -Chicken-100 G,69
2023-01-05,Cantt,Simple beef-Single Patty,55
2023-01-05,FF DHA,Simple beef-Single Patty,75
2023-01-05,Main warehouse Mian Pl,Simple beef-Single Patty,67
2023-01-05,Lakecity,Simple beef-Single Patty,67
2023-01-05,Model Town,Simple beef-Single Patty,77
2023-01-05,Cantt,Mozzarella Cheese Sticks,48
2023-01-05,FF DHA,Mozzarella Cheese Sticks,40
2023-01-05,Main warehouse Mian Pl,Mozzarella Cheese Sticks,35
2023-01-05,Lakecity,Mozzarella Cheese Sticks,40
2023-01-05,Model Town,Mozzarella Cheese Sticks,55
2023-01-05,Cantt,Fried Chicken Fingers,75
2023-01-05,FF DHA,Fried Chicken Fingers,50
2023-01-05,Main warehouse Mian Pl,Fried Chicken Fingers,42
2023-01-05,Lakecity,Fried Chicken Fingers,58
2023-01-05,Model Town,Fried Chicken Fingers,54
2023-01-06,Cantt,Glaze On-Single Patty,77
2023-01-06,FF DHA,Glaze On-Single Patty,54
2023-01-06,Main warehouse Mian Pl,Glaze On-Single Patty,74
2023-01-06,Lakecity,Glaze On-Single Patty,69
2023-01-06,Model Town,Glaze On-Single Patty,74
2023-01-06,Cantt,Glaze On-Double Patty,47
2023-01-06,FF DHA,Glaze On-Double Patty,49
2023-01-06,Main warehouse Mian Pl,Glaze On-Double Patty,41
2023-01-06,Lakecity,Glaze On-Double Patty,49
2023-01-06,Model Town,Glaze On-Double Patty,56
2023-01-06,Cantt,Jalapeno cheese fries,111
2023-01-06,FF DHA,Jalapeno cheese fries,93
2023-01-06,Main warehouse Mian Pl,Jalapeno cheese fries,108
2023-01-06,Lakecity,Jalapeno cheese fries,67
2023-01-06,Model Town,Jalapeno cheese fries,86
2023-01-06,Cantt,Signature Onion Rings,67
2023-01-06,FF DHA,Signature Onion Rings,74
2023-01-06,Main warehouse Mian Pl,Signature Onion Rings,63
2023-01-06,Lakecity,Signature Onion Rings,75
2023-01-06,Model Town,Signature Onion Rings,64
2023-01-06,Cantt,DD Classic -Chicken-100 G,107
2023-01-06,FF DHA,DD Classic -Chicken-100 G,77
2023-01-06,Main warehouse Mian Pl,DD Classic -Chicken-100 G,88
2023-01-06,Lakecity,DD Classic -Chicken-100 G,72
2023-01-06,Model Town,DD Classic -Chicken-100 G,85
2023-01-06,Cantt,Simple beef-Single Patty,70
2023-01-06,FF DHA,Simple beef-Single Patty,71
2023-01-06,Main warehouse Mian Pl,Simple beef-Single Patty,81
2023-01-06,Lakecity,Simple beef-Single Patty,59
2023-01-06,Model Town,Simple beef-Single Patty,77
2023-01-06,Cantt,Mozzarella Cheese Sticks,54
2023-01-06,FF DHA,Mozzarella Cheese Sticks,41
2023-01-06,Main warehouse Mian Pl,Mozzarella Cheese Sticks,47
2023-01-06,Lakecity,Mozzarella Cheese Sticks,48
2023-01-06,Model Town,Mozzarella Cheese Sticks,61
2023-01-06,Cantt,Fried Chicken Fingers,55
2023-01-06,FF DHA,Fried Chicken Fingers,53
2023-01-06,Main warehouse Mian Pl,Fried Chicken Fingers,55
2023-01-06,Lakecity,Fried Chicken Fingers,55
2023-01-06,Model Town,Fried Chicken Fingers,58
2023-01-07,Cantt,Glaze On-Single Patty,60
2023-01-07,FF DHA,Glaze On-Single Patty,63
2023-01-07,Main warehouse Mian Pl,Glaze On-Single Patty,64
2023-01-07,Lakecity,Glaze On-Single Patty,66
2023-01-07,Model Town,Glaze On-Single Patty,88
2023-01-07,Cantt,Glaze On-Double Patty,48
2023-01-07,FF DHA,Glaze On-Double Patty,38
2023-01-07,Main warehouse Mian Pl,Glaze On-Double Patty,37
2023-01-07,Lakecity,Glaze On-Double Patty,38
2023-01-07,Model Town,Glaze On-Double Patty,36
2023-01-07,Cantt,Jalapeno cheese fries,81
2023-01-07,FF DHA,Jalapeno cheese fries,90
2023-01-07,Main warehouse Mian Pl,Jalapeno cheese fries,94
2023-01-07,Lakecity,Jalapeno cheese fries,71
2023-01-07,Model Town,Jalapeno cheese fries,99
2023-01-07,Cantt,Signature Onion Rings,57
2023-01-07,FF DHA,Signature Onion Rings,62
2023-01-07,Main warehouse Mian Pl,Signature Onion Rings,68
2023-01-07,Lakecity,Signature Onion Rings,64
2023-01-07,Model Town,Signature Onion Rings,43
2023-01-07,Cantt,DD Classic -Chicken-100 G,85
2023-01-07,FF DHA,DD Classic -Chicken-100 G,71
2023-01-07,Main warehouse Mian Pl,DD Classic -Chicken-100 G,86
2023-01-07,Lakecity,DD Classic -Chicken-100 G,78
2023-01-07,Model Town,DD Classic -Chicken-100 G,76
2023-01-07,Cantt,Simple beef-Single Patty,72
2023-01-07,FF DHA,Simple beef-Single Patty,78
2023-01-07,Main warehouse Mian Pl,Simple beef-Single Patty,56
2023-01-07,Lakecity,Simple beef-Single Patty,72
2023-01-07,Model Town,Simple beef-Single Patty,68
2023-01-07,Cantt,Mozzarella Cheese Sticks,45
2023-01-07,FF DHA,Mozzarella Cheese Sticks,53
2023-01-07,Main warehouse Mian Pl,Mozzarella Cheese Sticks,52
2023-01-07,Lakecity,Mozzarella Cheese Sticks,39
2023-01-07,Model Town,Mozzarella Cheese Sticks,44
2023-01-07,Cantt,Fried Chicken Fingers,47
2023-01-07,FF DHA,Fried Chicken Fingers,47
2023-01-07,Main warehouse Mian Pl,Fried Chicken Fingers,42
2023-01-07,Lakecity,Fried Chicken Fingers,53
2023-01-07,Model Town,Fried Chicken Fingers,44
2023-01-08,Cantt,Glaze On-Single Patty,84
2023-01-08,FF DHA,Glaze On-Single Patty,65
2023-01-08,Main warehouse Mian Pl,Glaze On-Single Patty,91
2023-01-08,Lakecity,Glaze On-Single Patty,77
2023-01-08,Model Town,Glaze On-Single Patty,82
2023-01-08,Cantt,Glaze On-Double Patty,41
2023-01-08,FF DHA,Glaze On-Double Patty,45
2023-01-08,Main warehouse Mian Pl,Glaze On-Double Patty,35
2023-01-08,Lakecity,Glaze On-Double Patty,41
2023-01-08,Model Town,Glaze On-Double Patty,37
2023-01-08,Cantt,Jalapeno cheese fries,91
2023-01-08,FF DHA,Jalapeno cheese fries,85
2023-01-08,Main warehouse Mian Pl,Jalapeno cheese fries,85
2023-01-08,Lakecity,Jalapeno cheese fries,83
2023-01-08,Model Town,Jalapeno cheese fries,98
2023-01-08,Cantt,Signature Onion Rings,64
2023-01-08,FF DHA,Signature Onion Rings,61
2023-01-08,Main warehouse Mian Pl,Signature Onion Rings,54
2023-01-08,Lakecity,Signature Onion Rings,81
2023-01-08,Model Town,Signature Onion Rings,50
2023-01-08,Cantt,DD Classic -Chicken-100 G,87
2023-01-08,FF DHA,DD Classic -Chicken-100 G,73
2023-01-08,Main warehouse Mian Pl,DD Classic -Chicken-100 G,76
2023-01-08,Lakecity,DD Classic -Chicken-100 G,75
2023-01-08,Model Town,DD Classic -Chicken-100 G,89
2023-01-08,Cantt,Simple beef-Single Patty,66
2023-01-08,FF DHA,Simple beef-Single Patty,67
2023-01-08,Main warehouse Mian Pl,Simple beef-Single Patty,68
2023-01-08,Lakecity,Simple beef-Single Patty,69
2023-01-08,Model Town,Simple beef-Single Patty,76
2023-01-08,Cantt,Mozzarella Cheese Sticks,44
2023-01-08,FF DHA,Mozzarella Cheese Sticks,47
2023-01-08,Main warehouse Mian Pl,Mozzarella Cheese Sticks,61
2023-01-08,Lakecity,Mozzarella Cheese Sticks,53
2023-01-08,Model Town,Mozzarella Cheese Sticks,41
2023-01-08,Cantt,Fried Chicken Fingers,58
2023-01-08,FF DHA,Fried Chicken Fingers,66
2023-01-08,Main warehouse Mian Pl,Fried Chicken Fingers,46
2023-01-08,Lakecity,Fried Chicken Fingers,49
2023-01-08,Model Town,Fried Chicken Fingers,51
2023-01-09,Cantt,Glaze On-Single Patty,63
2023-01-09,FF DHA,Glaze On-Single Patty,83
2023-01-09,Main warehouse Mian Pl,Glaze On-Single Patty,68
2023-01-09,Lakecity,Glaze On-Single Patty,81
2023-01-09,Model Town,Glaze On-Single Patty,80
2023-01-09,Cantt,Glaze On-Double Patty,40
2023-01-09,FF DHA,Glaze On-Double Patty,47
2023-01-09,Main warehouse Mian Pl,Glaze On-Double Patty,44
2023-01-09,Lakecity,Glaze On-Double Patty,37
2023-01-09,Model Town,Glaze On-Double Patty,45
2023-01-09,Cantt,Jalapeno cheese fries,108
2023-01-09,FF DHA,Jalapeno cheese fries,96
2023-01-09,Main warehouse Mian Pl,Jalapeno cheese fries,92
2023-01-09,Lakecity,Jalapeno cheese fries,88
2023-01-09,Model Town,Jalapeno cheese fries,108
2023-01-09,Cantt,Signature Onion Rings,64
2023-01-09,FF DHA,Signature Onion Rings,75
2023-01-09,Main warehouse Mian Pl,Signature Onion Rings,67
2023-01-09,Lakecity,Signature Onion Rings,48
2023-01-09,Model Town,Signature Onion Rings,73
2023-01-09,Cantt,DD Classic -Chicken-100 G,80
2023-01-09,FF DHA,DD Classic -Chicken-100 G,86
2023-01-09,Main warehouse Mian Pl,DD Classic -Chicken-100 G,81
2023-01-09,Lakecity,DD Classic -Chicken-100 G,92
2023-01-09,Model Town,DD Classic -Chicken-100 G,77
2023-01-09,Cantt,Simple beef-Single Patty,59
2023-01-09,FF DHA,Simple beef-Single Patty,70
2023-01-09,Main warehouse Mian Pl,Simple beef-Single Patty,84
2023-01-09,Lakecity,Simple beef-Single Patty,72
2023-01-09,Model Town,Simple beef-Single Patty,60
2023-01-09,Cantt,Mozzarella Cheese Sticks,50
2023-01-09,FF DHA,Mozzarella Cheese Sticks,37
2023-01-09,Main warehouse Mian Pl,Mozzarella Cheese Sticks,43
2023-01-09,Lakecity,Mozzarella Cheese Sticks,51
2023-01-09,Model Town,Mozzarella Cheese Sticks,56
2023-01-09,Cantt,Fried Chicken Fingers,55
2023-01-09,FF DHA,Fried Chicken Fingers,53
2023-01-09,Main warehouse Mian Pl,Fried Chicken Fingers,46
2023-01-09,Lakecity,Fried Chicken Fingers,52
2023-01-09,Model Town,Fried Chicken Fingers,58
2023-01-10,Cantt,Glaze On-Single Patty,81
2023-01-10,FF DHA,Glaze On-Single Patty,68
2023-01-10,Main warehouse Mian Pl,Glaze On-Single Patty,83
2023-01-10,Lakecity,Glaze On-Single Patty,79
2023-01-10,Model Town,Glaze On-Single Patty,62
2023-01-10,Cantt,Glaze On-Double Patty,52
2023-01-10,FF DHA,Glaze On-Double Patty,48
2023-01-10,Main warehouse Mian Pl,Glaze On-Double Patty,41
2023-01-10,Lakecity,Glaze On-Double Patty,39
2023-01-10,Model Town,Glaze On-Double Patty,38
2023-01-10,Cantt,Jalapeno cheese fries,88
2023-01-10,FF DHA,Jalapeno cheese fries,100
2023-01-10,Main warehouse Mian Pl,Jalapeno cheese fries,83
2023-01-10,Lakecity,Jalapeno cheese fries,92
2023-01-10,Model Town,Jalapeno cheese fries,93
2023-01-10,Cantt,Signature Onion Rings,66
2023-01-10,FF DHA,Signature Onion Rings,60
2023-01-10,Main warehouse Mian Pl,Signature Onion Rings,72
2023-01-10,Lakecity,Signature Onion Rings,75
2023-01-10,Model Town,Signature Onion Rings,77
2023-01-10,Cantt,DD Classic -Chicken-100 G,83
2023-01-10,FF DHA,DD Classic -Chicken-100 G,78
2023-01-10,Main warehouse Mian Pl,DD Classic -Chicken-100 G,89
2023-01-10,Lakecity,DD Classic -Chicken-100 G,73
2023-01-10,Model Town,DD Classic -Chicken-100 G,75
2023-01-10,Cantt,Simple beef-Single Patty,58
2023-01-10,FF DHA,Simple beef-Single Patty,64
2023-01-10,Main warehouse Mian Pl,Simple beef-Single Patty,74
2023-01-10,Lakecity,Simple beef-Single Patty,62
2023-01-10,Model Town,Simple beef-Single Patty,81
2023-01-10,Cantt,Mozzarella Cheese Sticks,52
2023-01-10,FF DHA,Mozzarella Cheese Sticks,48
2023-01-10,Main warehouse Mian Pl,Mozzarella Cheese Sticks,50
2023-01-10,Lakecity,Mozzarella Cheese Sticks,42
2023-01-10,Model Town,Mozzarella Cheese Sticks,38
2023-01-10,Cantt,Fried Chicken Fingers,49
2023-01-10,FF DHA,Fried Chicken Fingers,50
2023-01-10,Main warehouse Mian Pl,Fried Chicken Fingers,60
2023-01-10,Lakecity,Fried Chicken Fingers,56
2023-01-10,Model Town,Fried Chicken Fingers,60
2023-01-11,Cantt,Glaze On-Single Patty,77
2023-01-11,FF DHA,Glaze On-Single Patty,75
2023-01-11,Main warehouse Mian Pl,Glaze On-Single Patty,71
2023-01-11,Lakecity,Glaze On-Single Patty,62
2023-01-11,Model Town,Glaze On-Single Patty,81
2023-01-11,Cantt,Glaze On-Double Patty,49
2023-01-11,FF DHA,Glaze On-Double Patty,40
2023-01-11,Main warehouse Mian Pl,Glaze On-Double Patty,51
2023-01-11,Lakecity,Glaze On-Double Patty,40
2023-01-11,Model Town,Glaze On-Double Patty,42
2023-01-11,Cantt,Jalapeno cheese fries,106
2023-01-11,FF DHA,Jalapeno cheese fries,111
2023-01-11,Main warehouse Mian Pl,Jalapeno cheese fries,80
2023-01-11,Lakecity,Jalapeno cheese fries,103
2023-01-11,Model Town,Jalapeno cheese fries,99
2023-01-11,Cantt,Signature Onion Rings,70
2023-01-11,FF DHA,Signature Onion Rings,59
2023-01-11,Main warehouse Mian Pl,Signature Onion Rings,82
2023-01-11,Lakecity,Signature Onion Rings,56
2023-01-11,Model Town,Signature Onion Rings,78
2023-01-11,Cantt,DD Classic -Chicken-100 G,90
2023-01-11,FF DHA,DD Classic -Chicken-100 G,101
2023-01-11,Main warehouse Mian Pl,DD Classic -Chicken-100 G,104
2023-01-11,Lakecity,DD Classic -Chicken-100 G,80
2023-01-11,Model Town,DD Classic -Chicken-100 G,77
2023-01-11,Cantt,Simple beef-Single Patty,55
2023-01-11,FF DHA,Simple beef-Single Patty,66
2023-01-11,Main warehouse Mian Pl,Simple beef-Single Patty,54
2023-01-11,Lakecity,Simple beef-Single Patty,71
2023-01-11,Model Town,Simple beef-Single Patty,65
2023-01-11,Cantt,Mozzarella Cheese Sticks,60
2023-01-11,FF DHA,Mozzarella Cheese Sticks,44
2023-01-11,Main warehouse Mian Pl,Mozzarella Cheese Sticks,59
2023-01-11,Lakecity,Mozzarella Cheese Sticks,59
2023-01-11,Model Town,Mozzarella Cheese Sticks,64
2023-01-11,Cantt,Fried Chicken Fingers,61
2023-01-11,FF DHA,Fried Chicken Fingers,54
2023-01-11,Main warehouse Mian Pl,Fried Chicken Fingers,61
2023-01-11,Lakecity,Fried Chicken Fingers,53
2023-01-11,Model Town,Fried Chicken Fingers,49
2023-01-12,Cantt,Glaze On-Single Patty,71
2023-01-12,FF DHA,Glaze On-Single Patty,70
2023-01-12,Main warehouse Mian Pl,Glaze On-Single Patty,53
2023-01-12,Lakecity,Glaze On-Single Patty,72
2023-01-12,Model Town,Glaze On-Single Patty,83
2023-01-12,Cantt,Glaze On-Double Patty,43
2023-01-12,FF DHA,Glaze On-Double Patty,59
2023-01-12,Main warehouse Mian Pl,Glaze On-Double Patty,47
2023-01-12,Lakecity,Glaze On-Double Patty,59
2023-01-12,Model Town,Glaze On-Double Patty,47
2023-01-12,Cantt,Jalapeno cheese fries,82
2023-01-12,FF DHA,Jalapeno cheese fries,82
2023-01-12,Main warehouse Mian Pl,Jalapeno cheese fries,98
2023-01-12,Lakecity,Jalapeno cheese fries,87
2023-01-12,Model Town,Jalapeno cheese fries,96
2023-01-12,Cantt,Signature Onion Rings,73
2023-01-12,FF DHA,Signature Onion Rings,58
2023-01-12,Main warehouse Mian Pl,Signature Onion Rings,67
2023-01-12,Lakecity,Signature Onion Rings,52
2023-01-12,Model Town,Signature Onion Rings,59
2023-01-12,Cantt,DD Classic -Chicken-100 G,89
2023-01-12,FF DHA,DD Classic -Chicken-100 G,70
2023-01-12,Main warehouse Mian Pl,DD Classic -Chicken-100 G,81
2023-01-12,Lakecity,DD Classic -Chicken-100 G,91
2023-01-12,Model Town,DD Classic -Chicken-100 G,69
2023-01-12,Cantt,Simple beef-Single Patty,75
2023-01-12,FF DHA,Simple beef-Single Patty,80
2023-01-12,Main warehouse Mian Pl,Simple beef-Single Patty,69
2023-01-12,Lakecity,Simple beef-Single Patty,79
2023-01-12,Model Town,Simple beef-Single Patty,74
2023-01-12,Cantt,Mozzarella Cheese Sticks,45
2023-01-12,FF DHA,Mozzarella Cheese Sticks,57
2023-01-12,Main warehouse Mian Pl,Mozzarella Cheese Sticks,58
2023-01-12,Lakecity,Mozzarella Cheese Sticks,54
2023-01-12,Model Town,Mozzarella Cheese Sticks,54
2023-01-12,Cantt,Fried Chicken Fingers,58
2023-01-12,FF DHA,Fried Chicken Fingers,65
2023-01-12,Main warehouse Mian Pl,Fried Chicken Fingers,63
2023-01-12,Lakecity,Fried Chicken Fingers,51
2023-01-12,Model Town,Fried Chicken Fingers,46
2023-01-13,Cantt,Glaze On-Single Patty,85
2023-01-13,FF DHA,Glaze On-Single Patty,78
2023-01-13,Main warehouse Mian Pl,Glaze On-Single Patty,78
2023-01-13,Lakecity,Glaze On-Single Patty,83
2023-01-13,Model Town,Glaze On-Single Patty,82
2023-01-13,Cantt,Glaze On-Double Patty,63
2023-01-13,FF DHA,Glaze On-Double Patty,49
2023-01-13,Main warehouse Mian Pl,Glaze On-Double Patty,41
2023-01-13,Lakecity,Glaze On-Double Patty,32
2023-01-13,Model Town,Glaze On-Double Patty,42
